SQL
UPDATE executives SET category = 'Nonprofit / Social Impact' WHERE current_company = 'Acer Logistics T Ltd';
UPDATE executives SET category = 'Legal Services' WHERE current_company = 'State Farm Agent';
UPDATE executives SET category = 'Manufacturing' WHERE current_company = 'Revolution Machine Works';
UPDATE executives SET category = 'Legal Services' WHERE current_company = 'Walt Disney World';
UPDATE executives SET category = 'Retail / E-Commerce' WHERE current_company = 'Twistellar â€“ Salesforce SUMMIT Partner';
UPDATE executives SET category = 'Aerospace / Defense' WHERE current_company = 'BP ALARM LLC';
UPDATE executives SET category = 'Energy / Utilities' WHERE current_company = 'Megabon Moderna Ventures SA';
"UPDATE executives SET category = 'Software / SaaS' WHERE current_company = 'Morphus, part of Accenture';"
"UPDATE executives SET category = 'Healthcare' WHERE current_company = 'Acer ITS, Inc';"
"UPDATE executives SET category = 'Insurance' WHERE current_company = 'Squareyard, LLC';"
UPDATE executives SET category = 'Financial Services' WHERE current_company = 'Shell Energy Australia';
UPDATE executives SET category = 'Consumer Goods' WHERE current_company = 'Revolution Games Private Limited';
"UPDATE executives SET category = 'Pharmaceuticals' WHERE current_company = 'Venafi, a CyberArk Company';"
UPDATE executives SET category = 'Energy / Utilities' WHERE current_company = 'PWC Industries Inc';
UPDATE executives SET category = 'Legal Services' WHERE current_company = 'Kiambote App';
UPDATE executives SET category = 'Nonprofit / Social Impact' WHERE current_company = 'Bayer 04 Leverkusen';
UPDATE executives SET category = 'Energy / Utilities' WHERE current_company = 'MARS INNO INDIA';
UPDATE executives SET category = 'Aerospace / Defense' WHERE current_company = 'Anthem Memory Care';
UPDATE executives SET category = 'Legal Services' WHERE current_company = 'Apple Tech Security';
UPDATE executives SET category = 'Education' WHERE current_company = 'BY D CLRSâ„¢';
UPDATE executives SET category = 'Pharmaceuticals' WHERE current_company = 'SAPL';
UPDATE executives SET category = 'Aerospace / Defense' WHERE current_company = 'Reliance Electronics';
UPDATE executives SET category = 'Education' WHERE current_company = 'MLE Systems | ServiceNow Partner';
UPDATE executives SET category = 'Consulting / Services' WHERE current_company = 'Vodafone Idea Limited';
UPDATE executives SET category = 'Aerospace / Defense' WHERE current_company = 'Google Cloud Security';
UPDATE executives SET category = 'Consulting / Services' WHERE current_company = 'Elastic Interface Cycling Technology';
UPDATE executives SET category = 'Consumer Goods' WHERE current_company = 'TCS Private Limited';
UPDATE executives SET category = 'Software / SaaS' WHERE current_company = 'Crowe Chizek';
UPDATE executives SET category = 'Healthcare' WHERE current_company = 'Walmart de MÃ©xico y CentroamÃ©rica';
UPDATE executives SET category = 'Consulting / Services' WHERE current_company = 'AMDT';
UPDATE executives SET category = 'Telecommunications' WHERE current_company = 'Precision Valve';
UPDATE executives SET category = 'Legal Services' WHERE current_company = 'Zohoor';
UPDATE executives SET category = 'Nonprofit / Social Impact' WHERE current_company = 'Cloud Beam Salesforce Global Partner';
UPDATE executives SET category = 'Media & Entertainment' WHERE current_company = 'Silver Softworks: Salesforce Summit Partner';
UPDATE executives SET category = 'Energy / Utilities' WHERE current_company = 'Accenture EspaÃ±a';
UPDATE executives SET category = 'Pharmaceuticals' WHERE current_company = 'Glencore Australia';
UPDATE executives SET category = 'Legal Services' WHERE current_company = 'Visa Services';
UPDATE executives SET category = 'Financial Services' WHERE current_company = 'Swire Coca-Cola';
UPDATE executives SET category = 'Financial Services' WHERE current_company = 'KPMG Italy';
